CACYBP,calcyclin binding protein,Neuroblastoma
CADM1,cell adhesion molecule 1,Asthenopia;  Lung Cancer;  Facial Paralysis;  Show all 5
CADPS,Ca++-dependent secretion activator,Pineoblastoma
CAHM,colon adenocarcinoma hypermethylated (non-protein coding),Adenocarcinoma Colon Adenocarcinoma
CALB1,calbindin 1; 28kDa,Huntingtons Disease;  Dominant Optic Atrophy;  Thyroid Medullary Carcinoma;  
CALB2,calbindin 2,Sex Cord-Gonadal Stromal Tumor;  Trisomy 22;  Hirschsprungs Disease;  7
CALCA,calcitonin-related polypeptide alpha,Paroxysmal Hemicrania;  Discitis;  Cerebral Arteriosclerosis;  Show all 67
CALCB,calcitonin-related polypeptide beta,Thyroid Medullary Carcinoma
CALCR,calcitonin receptor,Osteoporosis; Postmenopausal; Susceptibility;  Osteoporosis Lung Cancer
CALCRL,calcitonin receptor-like,Primary Angle-Closure Glaucoma Pulpitis
CALD1,caldesmon 1,Mixed Endometrial Stromal And Smooth Muscle Tumor;  Kidney Leiomyosarcoma;  Breast Leiomyosarcoma;  Show all 9
CALHM1,calcium homeostasis modulator 1,Alzheimers Disease Temporal Lobe Epilepsy
CALHM3,calcium homeostasis modulator 3,Alzheimers Disease
CALM1,calmodulin 1 (phosphorylase kinase; delta),Ventricular Tachycardia; Catecholaminergic Polymorphic; 4;  Calm1-Related Catecholaminergic Polymorphic Ventricular Tachycardia;  Otomycosis;  Show all 7
CALM2,calmodulin 2 (phosphorylase kinase; delta),Phencyclidine Abuse;  Otomycosis Pseudoachondroplasia
CALM2P1,calmodulin 2 pseudogene 1,Hypokalemic Periodic Paralysis
CALM3,calmodulin 3 (phosphorylase kinase; delta),Otomycosis Pseudoachondroplasia
CALML3,calmodulin-like 3,Pertussis
CALML4,calmodulin-like 4,Breast Cancer
CALML5,calmodulin-like 5,Pertussis
CALML6,calmodulin-like 6,Pertussis
CALN1,calneuron 1,Supravalvular Aortic Stenosis
CALR,calreticulin,Breast Mucinous Carcinoma;  Congenital Heart Block;  Thrombocythemia; Somatic;  7
CALR3,calreticulin 3,Cardiomyopathy; Familial Hypertrophic; 19;  Syncope;  Familial Hypertrophic CardiomyopathyShow all 4
CALY,calcyon neuron-specific vesicular protein,Schizophrenia
CAMK1G,calcium/calmodulin-dependent protein kinase IG,Van Der Woude Syndrome
CAMK2B,calcium/calmodulin-dependent protein kinase II beta,Phencyclidine Abuse
CAMK2G,calcium/calmodulin-dependent protein kinase II gamma,Timothy Syndrome;  Transient Cerebral Ischemia;  Ischemia;  Show all 5
CAMK2N2,calcium/calmodulin-dependent protein kinase II inhibitor 2,Colorectal Adenocarcinoma
CAMK4,calcium/calmodulin-dependent protein kinase IV,Cerebral Hypoxia Allan-Herndon-Dudley Syndrome
CAMKMT,calmodulin-lysine N-methyltransferase,2P21 Microdeletion Syndrome Without Cystinuria;  2P21 Microdeletion Syndrome;  Atypical Hypotonia - Cystinuria Syndrome;  Show all 5
CAMP,cathelicidin antimicrobial peptide,Rosacea;  Eczema Herpeticum;  Cellulitis;  Show all 7
CAMPD1,Camptodactyly 1,Camptodactyly 1
CAMTA1,calmodulin binding transcription activator 1,Histiocytoid Hemangioma;  Cerebellar Ataxia; Nonprogressive; With Mental Retardation; Epithelioid Hemangioendothelioma Show all 4
CAND1,cullin-associated and neddylation-dissociated 1,Glomuvenous Malformation
CANDF1,candidiasis; familial 1,Candidiasis; Familial; 1; Autosomal Dominant
CANDN1,candidiasis; nail 1 (with ICAM1 deficiency),Candidiasis; Familial; 3
CANT1,calcium activated nucleotidase 1,Desbuquois Syndrome;  Chagas Disease Dwarfism
CANX,calnexin,Orbital Melanoma
CAP1,CAP; adenylate cyclase-associated protein 1 (yeast),Herpes Simplex Encephalitis 3
CAPN1,calpain 1; (mu/I) large subunit,Meningothelial Meningioma;  Meningioma Gastric Cancer
CAPN10,calpain 10,Insulin Resistance;  Polycystic Ovary Syndrome;  Type 2 Diabetes Mellitus;  7
CAPN11,calpain 11,Gastric Cancer
CAPN12,calpain 12,Gastric Cancer
CAPN14,calpain 14,Gastric Cancer
CAPN3,calpain 3; (p94),Idiopathic Eosinophilic Myositis;  Calpainopathy;  Miyoshi Myopathy;  Show all 7
CAPN5,calpain 5,Vitreoretinopathy; Neovascular Inflammatory Gastric Cancer
CAPN6,calpain 6,Gastric Cancer
CAPN7,calpain 7,Gastric Cancer
CAPN8,calpain 8,Gastric Cancer
CAPN9,calpain 9,Gastric Cancer
CAPNS1,calpain; small subunit 1,Chronic Neutrophilic Leukemia Gastric Cancer
CAPNS2,calpain; small subunit 2,Gastric Cancer Traumatic Brain Injury
CAPRIN1,cell cycle associated protein 1,Japanese Encephalitis
CAPRIN2,caprin family member 2,Gastric Cancer
CAPS2,calcyphosine 2,Alexithymia
CAPSL,calcyphosine-like,Primary Biliary Cirrhosis
CARD11,caspase recruitment domain family; member 11,Immunodeficiency 11 Persistent Polyclonal B-Cell Lymphocytosis
CARD14,caspase recruitment domain family; member 14,Pityriasis Rubra Pilaris;  Psoriasis Susceptibility 2 Psoriasis
CARD16,caspase recruitment domain family; member 16,Hodgkins Lymphoma
CARD17,caspase recruitment domain family; member 17,Shigellosis
CARD8,caspase recruitment domain family; member 8,Masters-Allen Syndrome Rheumatoid Arthritis
CARD9,caspase recruitment domain family; member 9,Deep Dermatophytosis;  Candidiasis; Familial; 2; Autosomal Recessive;  Familial Candidiasis 2; Show all 9
CARF,calcium responsive transcription factor,Amyotrophic Lateral Sclerosis Lateral Sclerosis
CARS,cysteinyl-tRNA synthetase,Inflammatory Myofibroblastic Tumor;  Childhood Disintegrative Disease;  Wilms Tumor;  Show all 6
CARTPT,CART prepropeptide,Anus Cancer;  Obesity; Susceptibility To; Cartpt-Related;  Hypersomnia;  4
CASC1,cancer susceptibility candidate 1,Adenoma Lung Adenoma
CASC16,cancer susceptibility candidate 16 (non-protein coding),Breast Cancer Susceptibility
CASC5,cancer susceptibility candidate 5,Median Neuropathy;  Primary Autosomal Recessive Microcephaly Type 4;  Primary Autosomal Recessive Microcephaly Type 1;  Show all 5
CASD1,CAS1 domain containing 1,Brachydactyly-Syndactyly Syndrome
CASK,calcium/calmodulin-dependent serine protein kinase (MAGUK family),Mental Retardation And Microcephaly With Pontine And Cerebellar Hypoplasia;  Fg Syndrome 4; Cask-Related Disorders;  8
CASP1,caspase 1; apoptosis-related cysteine peptidase,Shigellosis;  Septic Shock;  Paratyphoid Fever;  3
CASP10,caspase 10; apoptosis-related cysteine peptidase,Autoimmune Lymphoproliferative Syndrome; Type Ii;  Familial Non-Hodgkin Lymphoma;  Gastric Cancer;  2
CASP12,caspase 12 (gene/pseudogene),Sepsis;  Prion Disease Myocardial Infarction
CASP14,caspase 14; apoptosis-related cysteine peptidase,Myocardial Infarction Plasma Cell Neoplasm
CASP2,caspase 2; apoptosis-related cysteine peptidase,Temporal Lobe Epilepsy;  Myocardial Infarction;  Primary Effusion Lymphoma;  Show all 5
CASP3,caspase 3; apoptosis-related cysteine peptidase,Nervous System Cancer;  Myocardial Infarction;  Diffuse Large B-Cell Lymphoma;  7
CASP4,caspase 4; apoptosis-related cysteine peptidase,Myocardial Infarction Nephropathic Cystinosis
CASP5,caspase 5; apoptosis-related cysteine peptidase,Cowpox Myocardial Infarction
CASP6,caspase 6; apoptosis-related cysteine peptidase,Myocardial Infarction;  Thoracic Cancer Huntingtons Disease
CASP7,caspase 7; apoptosis-related cysteine peptidase,Myocardial Infarction Gastrointestinal Lymphoma
CASP8,caspase 8; apoptosis-related cysteine peptidase,Caspase-8 Deficiency;  Lung Cancer; Protection Against;  Breast Cancer; Protection Against; 8
CASP9,caspase 9; apoptosis-related cysteine peptidase,Cerebral Hypoxia;  Thoracic Cancer;  Myocardial Infarction;  
CASQ1,calsequestrin 1 (fast-twitch; skeletal muscle),Gas Gangrene Malignant Hyperthermia Susceptibility
CASQ2,calsequestrin 2 (cardiac muscle),Ventricular Tachycardia; Catecholaminergic Polymorphic; 2;  Casq2-Related Catecholaminergic Polymorphic Ventricular Tachycardia;  Catecholaminergic Polymorphic Ventricular Tachycardia; Show all 5
CASR,calcium-sensing receptor,Hyperparathyroidism; Neonatal;  Metastatic Insulinoma;  Familial Hypocalciuric Hypercalcemia; 6
CAT,catalase,Acatalasia;  Meningitis And Encephalitis;  Pityriasis Versicolor;  Show all 43
CATMANS,Catel-Manzke syndrome,Catel Manzke Syndrome
CATSPER1,cation channel; sperm associated 1,Catsper-Related Male Infertility;  Spermatogenic Failure 7;  Rhinotracheitis;  Show all 5
CATSPER2,cation channel; sperm associated 2,Deafness-Infertility Syndrome;  Deafness And Male Infertility;  Male Infertility Show all 4
CATSPER2P1,cation channel; sperm associated 2 pseudogene 1,Deafness And Male Infertility
CAV1,caveolin 1; caveolae protein; 22kDa,Pulmonary Hypertension; Primary; 3;  Congenital Generalized Lipodystrophy Type 3;  Partial Lipodystrophy; Congenital Cataracts; And Neurodegeneration Syndrome;  8
CAV2,caveolin 2,Prostate Cancer
CAV3,caveolin 3,Long Qt Syndrome 9;  Creatine Phosphokinase; Elevated Serum;  Rippling Muscle Disease; 6
CBFA2T2,core-binding factor; runt domain; alpha subunit 2; translocated to; 2,Acute Myeloid Leukemia Myeloid Leukemia
CBFA2T3,core-binding factor; runt domain; alpha subunit 2; translocated to; 3,Acute Myeloid Leukemia;  Acute Megakaryoblastic Leukemia Without Down Syndrome Myeloid Leukemia
CBFB,core-binding factor; beta subunit,Lymphoplasmacytic Lymphoma;  Acute Myeloid Leukemia With Abnormal Bone Marrow Eosinophils Inv(16)(P13Q22) Or T(16;16)(P13;q22);  Cleidocranial Dysplasia;  Show all 9
CBL,Cbl proto-oncogene; E3 ubiquitin protein ligase,Noonan-Like Syndrome Disorder With Or Without Juvenile Myelomonocytic Leukemia;  Noonan Syndrome;  Juvenile Myelomonocytic Leukemia;  Show all 9
CBLB,Cbl proto-oncogene B; E3 ubiquitin protein ligase,Cannabis Dependence
CBLN1,cerebellin 1 precursor,Benign Paroxysmal Positional Nystagmus
CBLN2,cerebellin 2 precursor,Primary Pulmonary Hypertension Heritable Pulmonary Arterial Hypertension
CBLN3,cerebellin 3 precursor,Olivopontocerebellar Atrophy Spinocerebellar Degeneration
CBLN4,cerebellin 4 precursor,Colorectal Cancer
CBR3,carbonyl reductase 3,Keloids;  Lung Cancer Susceptibility;  Congestive Heart Failure Show all 4
CBR3-AS1,CBR3 antisense RNA 1,Prostate Cancer
CBS,cystathionine-beta-synthase,Homocystinuria Caused By Cystathionine Beta-Synthase Deficiency;  Homocystinuria Due To Cbs Deficiency;  Tinea Manuum;  9
CBX1,chromobox homolog 1,Mandibuloacral Dysplasia
CBX2,chromobox homolog 2,46Xy Sex Reversal 5;  Gonadal Dysgenesis 46Xy Sex Reversal 7
CBX4,chromobox homolog 4,Brain Cancer
CBY1,chibby homolog 1 (Drosophila),Pediatric Ependymoma
CC2D1A,coiled-coil and C2 domain containing 1A,Mental Retardation Mental Retardation; Autosomal Recessive 2
CC2D2A,coiled-coil and C2 domain containing 2A,Cc2D2A-Related Joubert Syndrome;  Meckel Syndrome 6;  Joubert Syndrome 9;  3
CC2D2B,coiled-coil and C2 domain containing 2B,Alcohol Dependence
CCA1,cataract; congenital; cerulean type; 1,Cataract 7 Cataract; Congenital
CCAL1,chondrocalcinosis 1 (calcium pyrophosphate-deposition disease; early onset osteoarthritis),Chondrocalcinosis 1
CCAR2,cell cycle and apoptosis regulator 2,Breast Cancer
CCAT1,colon cancer associated transcript 1 (non-protein coding),Colon Cancer
CCAT2,colon cancer associated transcript 2 (non-protein coding),Colon Cancer
CCBE1,collagen and calcium binding EGF domains 1,Hennekam Lymphangiectasia-Lymphedema Syndrome 1;  Hennekam Syndrome;  Non-Immune Hydrops Fetalis;  Show all 7
CCBL1,cysteine conjugate-beta lyase; cytoplasmic,Schizophrenia
CCCSX,Cerebral-cerebellar-coloboma syndrome; X-linked,Cerebral-Cerebellar-Coloboma Syndrome; X-Linked
CCDC101,coiled-coil domain containing 101,Diabetic Macular Edema
CCDC102A,coiled-coil domain containing 102A,Diabetic Cataract
CCDC103,coiled-coil domain containing 103,Ciliary Dyskinesia; Primary; 17;  Primary Ciliary Dyskinesia17: Ccdc103-Related Primary Ciliary Dyskinesia Ciliary Dyskinesia; Primary; 11
CCDC11,coiled-coil domain containing 11,Heterotaxy; Visceral; 6; Autosomal Recessive;  Heterotaxy;  Visceral Heterotaxy Show all 4
CCDC114,coiled-coil domain containing 114,Ciliary Dyskinesia; Primary; 20 Ciliary Dyskinesia; Primary; 11
CCDC130,coiled-coil domain containing 130,Trench Fever Phlebotomus Fever
CCDC151,coiled-coil domain containing 151,Ciliary Dyskinesia; Primary; 30 Ciliary Dyskinesia; Primary; 11
CCDC170,coiled-coil domain containing 170,Breast Cancer
CCDC18,coiled-coil domain containing 18,Sarcoma
CCDC19,coiled-coil domain containing 19,Nasopharynx Carcinoma
CCDC22,coiled-coil domain containing 22,Dandy-Walker Like Malformation With Atrioventricular Septal Defect
CCDC28B,coiled-coil domain containing 28B,Bardet-Biedl Syndrome 1; Modifier Of;  Retinal Disease;  Congenital Nystagmus Show all 4
CCDC34,coiled-coil domain containing 34,Spinal Stenosis
CCDC37,coiled-coil domain containing 37,Facial Paralysis
CCDC39,coiled-coil domain containing 39,Ciliary Dyskinesia; Primary; 14;  Primary Ciliary Dyskinesia14: Ccdc39-Related Primary Ciliary Dyskinesia;  Ciliary Dyskinesia; Primary; 11 Show all 4
CCDC40,coiled-coil domain containing 40,Ciliary Dyskinesia; Primary; 15;  Primary Ciliary Dyskinesia15: Ccdc40-Related Primary Ciliary Dyskinesia Ciliary Dyskinesia; Primary; 11
CCDC50,coiled-coil domain containing 50,Deafness; Autosomal Dominant 44;  Dfna44 Nonsyndromic Hearing Loss And DeafnessDeafness; Autosomal Dominant 3B
CCDC6,coiled-coil domain containing 6,Papillary Thyroid Carcinoma;  Follicular Thyroid Carcinoma Thyroid Cancer
CCDC65,coiled-coil domain containing 65,Ciliary Dyskinesia; Primary; 27;  Ciliary Dyskinesia; Primary; 11 Clear Cell Sarcoma
CCDC78,coiled-coil domain containing 78,Centronuclear Myopathy 4
CCDC8,coiled-coil domain containing 8,3-M Syndrome; Ccdc8-Related;  3-M Syndrome 3 3-M Syndrome
CCDC85B,coiled-coil domain containing 85B,Hepatitis Relapsing Fever
CCDC88C,coiled-coil domain containing 88C,Hydrocephalus;  Spinocerebellar Ataxia 40;  Congenital Non-Communicating HydrocephalusShow all 4
CCK,cholecystokinin,Acalculous Cholecystitis;  Biliary Dyskinesia;  Opioid Abuse;  5
CCKAR,cholecystokinin A receptor,Dyspepsia;  Irritable Bowel Syndrome;  Paranoid Schizophrenia;  1
CCKBR,cholecystokinin B receptor,Agoraphobia;  Duodenal Gastrinoma;  Panic Disorder;  0
CCL1,chemokine (C-C motif) ligand 1,Kaposis Sarcoma
CCL11,chemokine (C-C motif) ligand 11,Giant Papillary Conjunctivitis;  Pediatric Ulcerative Colitis;  Papillary Conjunctivitis;  Show all 62
CCL13,chemokine (C-C motif) ligand 13,Far Eastern Spotted Fever;  Spotted Fever;  Allergic Rhinitis Show all 4
CCL15,chemokine (C-C motif) ligand 15,Pertussis Osteosarcoma
CCL17,chemokine (C-C motif) ligand 17,Paragonimiasis;  Stenotrophomonas Maltophilia;  Mycosis Fungoides;  2
CCL18,chemokine (C-C motif) ligand 18 (pulmonary and activation-regulated),Idiopathic Pulmonary Fibrosis;  Allergic Asthma;  Pulmonary Fibrosis Show all 4
CCL19,chemokine (C-C motif) ligand 19,Polyradiculoneuropathy Chronic Inflammatory Demyelinating Polyradiculoneuropathy
CCL2,chemokine (C-C motif) ligand 2,Spina Bifida;  Coronary Artery Disease; Modifier Of;  Hiv-1;  Show all 57
CCL20,chemokine (C-C motif) ligand 20,Smallpox;  Pancreatic Cancer;  Stromal Keratitis Show all 4
CCL21,chemokine (C-C motif) ligand 21,Chronic Lymphocytic Leukemia;  Idiopathic Pulmonary Fibrosis;  Thymic Hyperplasia;  Show all 6
CCL22,chemokine (C-C motif) ligand 22,Atopic Keratoconjunctivitis;  Mycosis Fungoides;  Allergic Bronchopulmonary Aspergillosis;  5
CCL23,chemokine (C-C motif) ligand 23,Sialadenitis
CCL24,chemokine (C-C motif) ligand 24,Papillary Conjunctivitis;  Giant Papillary Conjunctivitis;  Acute Promyelocytic Leukemia;  
CCL25,chemokine (C-C motif) ligand 25,Allergic Asthma;  Ileitis Obstructive Jaundice
CCL26,chemokine (C-C motif) ligand 26,Heart Tumor;  Eosinophilic Esophagitis;  Esophagitis;  3
CCL27,chemokine (C-C motif) ligand 27,Primary Biliary Cirrhosis;  Chronic Recurrent Multifocal Osteomyelitis;  Hypophosphatasia;  Show all 7
CCL3,chemokine (C-C motif) ligand 3,Malaria;  Tuberculosis;  Behcets Disease;  5
CCL3L1,chemokine (C-C motif) ligand 3-like 1,Hiv/aids;  Acquired Immunodeficiency Syndrome;  Trypanosomiasis Show all 4
CCL3L3,chemokine (C-C motif) ligand 3-like 3,Hiv-1
CCL4,chemokine (C-C motif) ligand 4,Malaria;  Tuberculosis;  Stachybotrys Chartarum;  2
CCL5,chemokine (C-C motif) ligand 5,Ulcer Of Lower Limbs;  African Tick-Bite Fever;  Hiv-1 Disease; Rapid Progression Of;  5
CCL7,chemokine (C-C motif) ligand 7,Stachybotrys Chartarum;  Nephrogenic Systemic Fibrosis;  Usual Interstitial Pneumonia;  Show all 6
CCL8,chemokine (C-C motif) ligand 8,Cholera;  Primary Biliary Cirrhosis Diffuse Gastric Cancer
CCM2,cerebral cavernous malformation 2,Cerebral Cavernous Malformations-2;  Cerebral Angioma;  Cerebral Cavernous Malformation; Show all 9
CCM2L,cerebral cavernous malformation 2-like,Cavernous Malformation Cerebral Cavernous Malformation
CCNA1,cyclin A1,Male Germ Cell Tumor Acute Myeloid Leukemia
CCNA2,cyclin A2,Tenosynovial Giant Cell Tumor;  Benign Meningioma;  Thyroid Lymphoma;  3
CCNB1,cyclin B1,Cervical Cancer;  Tetraploidy;  Thyroid Lymphoma;  Show all 5
CCNB2,cyclin B2,Cartilage-Hair Hypoplasia
CCND1,cyclin D1,Superficial Urinary Bladder Cancer;  Breast Papillary Carcinoma;  Colorectal Cancer;  Show all 40
CCND2,cyclin D2,Megalencephaly-Polymicrogyria-Polydactyly-Hydrocephalus Syndrome 3;  Mantle Cell Lymphoma;  Breast Cancer;  Show all 6
CCND3,cyclin D3,Myeloma Bladder Carcinoma In Situ
CCNDBP1,cyclin D-type binding-protein 1,Optic Disk Drusen Congenital Dyserythropoietic Anemia Type I
CCNE1,cyclin E1,Facial Dermatosis;  Phlyctenulosis;  Chronic Endophthalmitis;  Show all 9
CCNF,cyclin F,Necrotizing Fasciitis
CCNG1,cyclin G1,Mantle Cell Lymphoma Pancreatic Cancer
CCNG2,cyclin G2,Thyroid Lymphoma
CCNK,cyclin K,Pthirus Pubis Infestation Kaposis Sarcoma
CCNL2,cyclin L2,Star Syndrome
CCNO,cyclin O,Ciliary Diskinesia; Primary; 29 Ciliary Dyskinesia; Primary; 11
CCNT1,cyclin T1,Hiv-1
CCNT2,cyclin T2,Hiv-1
CCR1,chemokine (C-C motif) receptor 1,Chromoblastomycosis;  Mesangial Proliferative Glomerulonephritis;  Proliferative Glomerulonephritis;  Show all 6
CCR10,chemokine (C-C motif) receptor 10,Pthirus Pubis Infestation Cutaneous Malignant Melanoma
CCR2,chemokine (C-C motif) receptor 2,Idiopathic Anterior Uveitis;  Anterior Uveitis;  Acquired Immunodeficiency Syndrome;  7
CCR3,chemokine (C-C motif) receptor 3,Aids Dementia Complex;  Erdheim-Chester Disease;  Corneal Ulcer;  0
CCR4,chemokine (C-C motif) receptor 4,Wegeners Granulomatosis;  Atopic Keratoconjunctivitis;  Alk-Negative Anaplastic Large Cell Lymphoma;  7
CCR5,chemokine (C-C motif) receptor 5 (gene/pseudogene),Diabetes Mellitus; Insulin-Dependent; 22;  West Nile Virus;  Hepatitis C Virus;  9
CCR6,chemokine (C-C motif) receptor 6,Granulomatosis With Polyangiitis;  Erdheim-Chester Disease;  Stromal Keratitis;  Show all 9
CCR7,chemokine (C-C motif) receptor 7,Chronic Actinic Dermatitis;  Erdheim-Chester Disease;  Squamous Cell Carcinoma Of The Head And Neck;  Show all 9
CCR8,chemokine (C-C motif) receptor 8,Kaposis Sarcoma Allergic Rhinitis
CCR9,chemokine (C-C motif) receptor 9,Celiac Disease Ileitis
CCT,cataract; congenital; total,Cataract; Congenital Proliferative Vasculopathy And Hydraencephaly-Hydrocephaly Syndrome
CCT4,chaperonin containing TCP1; subunit 4 (delta),Sensory Peripheral Neuropathy
CCT5,chaperonin containing TCP1; subunit 5 (epsilon),Neuropathy; Hereditary Sensory; With Spastic Paraplegia Autosomal Recessive Sensory Neuropathy With Spastic Paraplegia
CCT6A,chaperonin containing TCP1; subunit 6A (zeta 1),Morphine Dependence
CCT7,chaperonin containing TCP1; subunit 7 (eta),Myocardial Infarction;  Hiv-1;  Myocardial Infarction; Decreased;  Show all 6
CCV,cataract; congenital; Volkmann type,Cataract 8; Multiple Types Cataract; Congenital
CD109,CD109 molecule,Fetal And Neonatal Alloimmune Thrombocytopenia
CD14,CD14 molecule,Burning Mouth Syndrome;  Monocytic Leukemia;  Acute Monocytic Leukemia;  9
CD151,CD151 molecule (Raph blood group),Nephropathy With Pretibial Epidermolysis Bullosa And Deafness;  Skin Squamous Cell Carcinoma Salivary Gland Cancer
CD160,CD160 molecule,Neurotrophic Keratopathy;  Allergic Asthma Folliculitis
CD163,CD163 molecule,Adult Xanthogranuloma;  Rosai-Dorfman Disease;  Histiocytic Sarcoma;  
CD164,CD164 molecule; sialomucin,Bruton-Type Agammaglobulinemia
CD177,CD177 molecule,Hemorrhagic Thrombocythemia;  Polycythemia;  Polycythemia Vera;  0
CD180,CD180 molecule,Primary Biliary Cirrhosis
CD19,CD19 molecule,Immunodeficiency; Common Variable; 3;  Gastrointestinal System Disease;  Cd19-Related Common Variable Immune Deficiency;  Show all 9
CD1A,CD1a molecule,Generalized Eruptive Histiocytosis;  Actinic Cheilitis;  Cheilitis;  3
CD1B,CD1b molecule,Mycobacterium Malmoense
CD1C,CD1c molecule,Mycobacterium Malmoense
CD1D,CD1d molecule,Mycobacterium Malmoense Relapsing Polychondritis
CD1E,CD1e molecule,Mycobacterium Malmoense Multifocal Motor Neuropathy
CD2,CD2 molecule,Lepromatous Leprosy;  Familial Chronic Lymphocytic Leukemia;  Primary Effusion Lymphoma; 2
CD200,CD200 molecule,Chronic Lymphocytic Leukemia
CD200R1L,CD200 receptor 1-like,Sleeping Sickness
CD207,CD207 molecule; langerin,Birbeck Granule Deficiency;  Langerhans-Cell Histiocytosis;  Alk+ Histiocytosis;  0
CD209,CD209 molecule,Secondary Syphilis;  Dengue Disease;  Dengue Fever; Protection Against;  4
CD22,CD22 molecule,Eaf;  Lymphosarcoma;  Chronic Lymphocytic Leukemia Show all 4
CD226,CD226 molecule,Autoimmune Polyendocrinopathy Type 2 Refractory Celiac Disease
CD244,CD244 molecule; natural killer cell receptor 2B4,Rheumatoid Arthritis Rheumatoid Arthritis; Progression Of
CD247,CD247 molecule,Oligoarticular Juvenile Arthritis;  Polyarticular Onset Juvenile Idiopathic Arthritis; Immunodeficiency 25;  Show all 5
CD27,CD27 molecule,Lymphoproliferative Syndrome 2;  Pars Planitis;  Human Immunodeficiency Virus Infectious Disease;  4
CD274,CD274 molecule,Primary Mediastinal Large B-Cell Lymphoma;  Cheilitis;  Autoimmune Myocarditis;  Show all 9
CD28,CD28 molecule,Sialadenitis Wegeners Granulomatosis
CD2AP,CD2-associated protein,Focal Segmental Glomerulosclerosis 3;  Multilocular Cystic Renal Cell Carcinoma;  Familial Idiopathic Steroid-Resistant Nephrotic Syndrome With Focal Segmental Hyalinosis;  0
CD2BP2,CD2 (cytoplasmic tail) binding protein 2,Contagious Pustular Dermatitis Lobular Neoplasia
CD300E,CD300e molecule,Lice Infestation;  Tungiasis Scabies
CD320,CD320 molecule,Methylmalonic Aciduria Due To Transcobalamin Receptor Defect;  Methylmalonic Aciduria And Homocystinuria Type Cble;  Methylmalonic Aciduria And Homocystinuria Type Cblg;  3
CD33,CD33 molecule,Cd4+/cd56+ Hematodermic Neoplasm;  Myeloid Sarcoma;  Myelodysplastic Syndromes;  Show all 5
CD34,CD34 molecule,Atypical Neurofibroma;  Kaposiform Hemangioendothelioma;  Kaposis Sarcoma;  3
CD36,CD36 molecule (thrombospondin receptor),Platelet Glycoprotein Iv Deficiency;  Coronary Heart Disease 7;  Malaria; Cerebral; Reduced Risk Of;  Show all 43
CD38,CD38 molecule,Chronic Lymphocytic Leukemia;  Plasmablastic Lymphoma;  Familial Chronic Lymphocytic Leukemia Show all 4
CD3D,CD3d molecule; delta (CD3-TCR complex),Cd3Delta Deficiency;  Severe Combined Immune Deficiency; Autosomal Recessive; T Cell-Negative; B Cell-Positive; Nk Cell-Positive; Cd3D-Related;  Immunodeficiency 19;  
CD3E,CD3e molecule; epsilon (CD3-TCR complex),Immunodeficiency 18;  Small Intestine Lymphoma;  Hemometra;  Show all 7
CD3EAP,CD3e molecule; epsilon associated protein,Lung Cancer Susceptibility;  Lung Cancer Multiple Myeloma
CD3G,CD3g molecule; gamma (CD3-TCR complex),Enteropathy-Associated T-Cell Lymphoma;  Immunodeficiency Due To Defect In Cd3-GammaImmunodeficiency 17; Cd3 Gamma Deficient
CD4,CD4 molecule,Lymphatic System Disease;  Okt4 Epitope Deficiency;  Anogenital Venereal Wart;  0
CD40,CD40 molecule; TNF receptor superfamily member 5,Chromosome 20Q Deletion;  Cd40 Deficiency;  Blood Protein Disease;  1
CD40LG,CD40 ligand,Epstein-Barr Virus Hepatitis;  Immunoglobulin G Deficiency;  Idiopathic Posterior Uveitis;  Show all 98
CD44,CD44 molecule (Indian blood group),Superficial Keratitis;  Acute Monoblastic Leukemia;  Gastrointestinal Lymphoma;  6
CD46,CD46 molecule; complement regulatory protein,Hemolytic Uremic Syndrome; Atypical 2;  Measles;  Cd46-Related Atypical Hemolytic-Uremic Syndrome;  4
CD47,CD47 molecule,Neonatal Meningitis
CD5,CD5 molecule,Type Ii Mixed Cryoglobulinemia;  Thymic Epithelial Tumor;  Thymic Carcinoma;  7
CD52,CD52 molecule,Chronic Lymphocytic Leukemia;  Chronic Myeloid Leukemia;  Aplastic Anemia;  Show all 6
CD53,CD53 molecule,Intestinal Tuberculosis
CD55,CD55 molecule; decay accelerating factor for complement (Cromer blood group),Acute Hemorrhagic Conjunctivitis;  Hemoglobinuria;  Malaria;  Show all 5
CD58,CD58 molecule,Hemorrhagic Fever With Renal Syndrome;  Vaccinia;  Oral Lichen Planus;  Show all 7
CD59,CD59 molecule; complement regulatory protein,Hemolytic Anemia; Cd59-Mediated; With Or Without Immune-Mediated Polyneuropathy; Hemolytic Anemia;  Hemoglobinuria;  0
CD5L,CD5 molecule-like,Wolman Disease
CD6,CD6 molecule,Oropharynx Cancer Multiple Sclerosis
CD63,CD63 molecule,Melanoma Platelet Storage Pool Deficiency
CD68,CD68 molecule,Verruciform Xanthoma Of Skin;  Rhinoscleroma;  Cutaneous Fibrous Histiocytoma;  6
CD69,CD69 molecule,Coccidioidomycosis;  Stromal Keratitis Intermediate Uveitis
CD7,CD7 molecule,Pityriasis Lichenoides Et Varioliformis Acuta;  T-Cell Leukemia;  Hepatosplenic T-Cell Lymphoma;  2
CD70,CD70 molecule,Mantle Cell Lymphoma;  Non-Hodgkin Lymphoma;  Acute Myocarditis;  Show all 6
CD79A,CD79a molecule; immunoglobulin-associated alpha,Agammaglobulinemia 3;  Tabes Dorsalis;  Berger Disease;  04
